"","country","elec_rank","elec_consumption_bil_kwh","gas_rank","gas_consumption_k_barrels_per_day","jet_rank","jet_consumption_k_barrels_per_day","pop_rank","pop2020","pop2019","pop_growth_rate","land_area","pop_density","covid_rank","total_cases","new_cases","total_deaths","new_deaths","total_recovered","active_cases","serious_critical_cases","cases_per_M_pop","deaths_per_M_pop","total_tests","tests_per_M_pop","population_covid","pov_rank","pop_below_poverty_line"
"70","Djibouti",174,"0.3",169,"0.6",102,"2.2",160,988,973.56,1.0148,23200,41.9638,77,"3,194","280","22","2","1,286","1,886","","3,237","22","26,366","26,722","986,677",86,23
"72","Dominican Republic",85,"12",65,"27",57,"10",85,10847.91,10738.958,1.0101,48671,220.6439,43,"16,531","","488","","9,266","6,777","106","1,525","45","76,930","7,098","10,838,156",57,30.5
"76","Ecuador",70,"20",42,"65",67,"6.9",67,17643.054,17373.662,1.0155,276841,62.7568,24,"38,571","","3,334","","19,190","16,047","220","2,189","189","113,808","6,460","17,618,288",102,21.5
"77","Egypt",25,"140",25,"126",32,"29",14,102334.404,100388.073,1.0194,1002450,100.1427,37,"22,082","","879","","5,511","15,692","41","216","9","135,000","1,322","102,152,100",72,27.8
"78","El Salvador",110,"5.9",93,"10",97,"2.6",111,6486.205,6453.553,1.0051,21041,306.7132,85,"2,395","117","44","2","1,026","1,325","45","369","7","86,972","13,415","6,483,357",51,32.7
"79","Equatorial Guinea",192,"0.09",174,"0.5",132,"0.8",154,1402.985,1355.986,1.0347,28051,48.34,104,"1,306","","12","","200","1,094","","934","9","854","611","1,398,267",35,44
"81","Estonia",99,"8",111,"5.8",134,"0.8",155,1326.535,1325.648,1.0007,45227,29.311,91,"1,865","6","67","","1,622","176","","1,406","51","82,747","62,382","1,326,459",104,21.1
"83","Ethiopia",109,"6",121,"3.9",66,"7.6",12,114963.588,112078.73,1.0257,1104300,101.493,112,"1,063","95","8","","208","847","5","9","0.07","106,615","930","114,685,261",65,29.6
"88","Fiji",156,"0.8",161,"1",90,"3.1",161,896.445,889.953,1.0073,18272,48.7058,196,"18","","","","15","3","","20","","2,431","2,714","895,872",55,31
"90","France",10,"453",20,"180",7,"146",22,65273.511,65129.728,1.0022,551695,118.0539,7,"186,835","","28,714","","67,803","90,318","1,361","2,863","440","1,384,633","21,217","65,261,155",138,14.2
"92","French Polynesia",161,"0.6",157,"1.1",149,"0.4",185,280.908,279.287,1.0058,4167,67.0235,179,"60","","","","60","0","","214","","4,006","14,268","280,766",108,19.7
"93","Gabon",142,"1.8",154,"1.3",127,"1",146,2225.734,2172.579,1.0245,267668,8.1167,82,"2,613","","15","","709","1,889","15","1,177","7","13,833","6,229","2,220,636",50,34.3
"97","Georgia",93,"9.1",96,"9.9",120,"1.2",132,3989.167,3996.765,0.9981,69700,57.3424,127,"757","11","12","","600","145","6","190","3","53,618","13,439","3,989,806",154,9.2
"98","Germany",6,"534",10,"427",6,"187",17,83783.942,83517.045,1.0032,357114,233.8666,8,"183,149","130","8,598","4","164,900","9,651","729","2,187","103","3,952,971","47,194","83,760,886",121,16.7
"99","Ghana",91,"9.6",71,"24",91,"3.1",46,31072.94,30417.856,1.0215,238533,127.5205,60,"7,768","152","35","1","2,540","5,193","17","250","1","211,622","6,824","31,010,956",81,24.2
"101","Greece",44,"53",39,"68",37,"21",87,10423.054,10473.455,0.9952,131990,79.3504,80,"2,915","6","175","","1,374","1,366","14","280","17","178,316","17,101","10,427,224",48,36
"102","Greenland",173,"0.3",182,"0.3",143,"0.5",208,56.77,56.672,1.0017,2166086,0.0262,201,"13","","","","11","2","","229","","2,030","35,763","56,762",125,16.2
"103","Grenada",184,"0.2",167,"0.7",174,"0.1",194,112.523,112.003,1.0046,344,325.5901,190,"23","","","","18","5","4","204","","3,007","26,734","112,478",42,38
"106","Guatemala",97,"8.5",73,"22",133,"0.8",66,17915.568,17581.472,1.019,108889,161.4623,69,"4,607","259","90","10","648","3,869","5","258","5","31,427","1,757","17,884,332",14,59.3
"107","Guinea",154,"0.9",141,"2",156,"0.3",75,13132.795,12771.246,1.0283,245857,51.9458,74,"3,656","","22","","2,000","1,634","24","279","2","14,407","1,100","13,097,504",25,47
"108","Guinea-Bissau",200,"0.03",172,"0.5",168,"0.2",150,1968.001,1920.922,1.0245,36125,53.1743,105,"1,256","","8","","42","1,206","","640","4","1,500","764","1,963,484",7,67
"109","Guyana",159,"0.7",136,"2.6",169,"0.2",164,786.552,782.766,1.0048,214969,3.6413,163,"150","","11","","67","72","2","191","14","1,586","2,017","786,222",49,35
"110","Haiti",166,"0.4",130,"3",151,"0.4",83,11402.528,11263.077,1.0124,27750,405.8766,97,"1,584","141","35","","22","1,527","","139","3","4,106","360","11,389,903",15,58.5
"111","Honduras",113,"5.4",91,"12",125,"1",93,9904.607,9746.117,1.0163,112492,86.6383,68,"4,886","134","199","3","528","4,159","13","494","20","14,790","1,495","9,889,983",64,29.6
"112","Hong Kong",54,"40",98,"9.4",12,"115",104,7496.981,7436.154,1.0082,1104,6735.6467,109,"1,083","3","4","","1,036","43","1","145","0.5","202,930","27,088","7,491,589",107,19.9
"113","Hungary",57,"37",59,"30",87,"3.6",94,9660.351,9684.679,0.9975,93028,104.105,72,"3,867","26","524","7","2,142","1,201","22","400","54","183,562","18,998","9,662,389",134,14.9
