"","country","elec_rank","elec_consumption_bil_kwh","gas_rank","gas_consumption_k_barrels_per_day","jet_rank","jet_consumption_k_barrels_per_day","pop_rank","pop2020","pop2019","pop_growth_rate","land_area","pop_density"
"243","South Korea",NA,NA,NA,NA,NA,NA,28,51269.185,51225.308,1.0009,100210,511.1796
"244","South Sudan",NA,NA,NA,NA,NA,NA,84,11193.725,11062.113,1.0119,619745,17.8495
"245","Sudan",NA,NA,NA,NA,NA,NA,35,43849.26,42813.238,1.0242,1886068,22.6997
"246","Syria",NA,NA,NA,NA,NA,NA,69,17500.658,17070.135,1.0252,185180,92.1813
"247","Taiwan",NA,NA,NA,NA,NA,NA,56,23816.775,23773.876,1.0018,36193,656.8639
"248","Tanzania",NA,NA,NA,NA,NA,NA,25,59734.218,58005.463,1.0298,945087,61.3758
"249","Tokelau",NA,NA,NA,NA,NA,NA,231,1.357,1.34,1.0127,12,111.6667
"250","Tuvalu",NA,NA,NA,NA,NA,NA,223,11.792,11.646,1.0125,26,447.9231
"251","United States Virgin Islands",NA,NA,NA,NA,NA,NA,197,104.425,104.578,0.9985,347,301.3775
"252","Vatican City",NA,NA,NA,NA,NA,NA,232,0.801,0.799,1.0025,0.44,1815.9091
"253","Vietnam",NA,NA,NA,NA,NA,NA,15,97338.579,96462.106,1.0091,331212,291.2398
"254","Wallis and Futuna",NA,NA,NA,NA,NA,NA,224,11.239,11.432,0.9831,142,80.507
