Rank,name,pop2020,pop2019,GrowthRate,area,Density
41,Saudi Arabia,34813.871,34268.528,1.0159,2149690,15.9411
42,Uzbekistan,33469.203,32981.716,1.0148,447400,73.7186
43,Peru,32971.854,32510.453,1.0142,1285216,25.2957
45,Angola,32866.272,31825.295,1.0327,1246700,25.5276
44,Malaysia,32365.999,31949.777,1.013,330803,96.5825
47,Mozambique,31255.435,30366.036,1.0293,801590,37.8823
46,Ghana,31072.94,30417.856,1.0215,238533,127.5205
48,Yemen,29825.964,29161.922,1.0228,527968,55.2343
49,Nepal,29136.808,28608.71,1.0185,147181,194.3777
50,Venezuela,28435.94,28515.829,0.9972,916445,31.1157
51,Madagascar,27691.018,26969.307,1.0268,587041,45.9411
52,Cameroon,26545.863,25876.38,1.0259,475442,54.4259
53,Ivory Coast,26378.274,25716.544,1.0257,322463,79.7504
54,North Korea,25778.816,25666.161,1.0044,120538,212.93
55,Australia,25499.884,25203.198,1.0118,7692024,3.2765
57,Niger,24206.644,23310.715,1.0384,1267000,18.3984
56,Taiwan,23816.775,23773.876,1.0018,36193,656.8639
58,Sri Lanka,21413.249,21323.733,1.0042,65610,325.0074
59,Burkina Faso,20903.273,20321.378,1.0286,272967,74.4463
60,Mali,20250.833,19658.031,1.0302,1240192,15.8508
61,Romania,19237.691,19364.557,0.9934,238391,81.2302
63,Malawi,19129.952,18628.747,1.0269,118484,157.2258
62,Chile,19116.201,18952.038,1.0087,756102,25.0655
64,Kazakhstan,18776.707,18551.427,1.0121,2724900,6.8081
65,Zambia,18383.955,17861.03,1.0293,752612,23.7321
66,Guatemala,17915.568,17581.472,1.019,108889,161.4623
67,Ecuador,17643.054,17373.662,1.0155,276841,62.7568
69,Syria,17500.658,17070.135,1.0252,185180,92.1813
68,Netherlands,17134.872,17097.13,1.0022,41850,408.5336
71,Senegal,16743.927,16296.364,1.0275,196722,82.8396
70,Cambodia,16718.965,16486.542,1.0141,181035,91.0683
72,Chad,16425.864,15946.876,1.03,1284000,12.4197
73,Somalia,15893.222,15442.905,1.0292,637657,24.2182
74,Zimbabwe,14862.924,14645.468,1.0148,390757,37.4797
75,Guinea,13132.795,12771.246,1.0283,245857,51.9458
76,Rwanda,12952.218,12626.95,1.0258,26338,479.4195
77,Benin,12123.2,11801.151,1.0273,112622,104.7855
80,Burundi,11890.784,11530.58,1.0312,27834,414.2624
78,Tunisia,11818.619,11694.719,1.0106,163610,71.4792
81,Bolivia,11673.021,11513.1,1.0139,1098581,10.48
79,Belgium,11589.623,11539.328,1.0044,30528,377.9916
83,Haiti,11402.528,11263.077,1.0124,27750,405.8766
82,Cuba,11326.616,11333.483,0.9994,109884,103.1404
84,South Sudan,11193.725,11062.113,1.0119,619745,17.8495
85,Dominican Republic,10847.91,10738.958,1.0101,48671,220.6439
86,Czech Republic,10708.981,10689.209,1.0018,78865,135.5381
87,Greece,10423.054,10473.455,0.9952,131990,79.3504
89,Jordan,10203.134,10101.694,1.01,89342,113.0677
88,Portugal,10196.709,10226.187,0.9971,92090,111.0456
90,Azerbaijan,10139.177,10047.718,1.0091,86600,116.0245
91,Sweden,10099.265,10036.379,1.0063,450295,22.2885
93,Honduras,9904.607,9746.117,1.0163,112492,86.6383
92,United Arab Emirates,9890.402,9770.529,1.0123,83600,116.8724
94,Hungary,9660.351,9684.679,0.9975,93028,104.105
96,Tajikistan,9537.645,9321.018,1.0232,143100,65.1364
95,Belarus,9449.323,9452.411,0.9997,207600,45.5318
97,Austria,9006.398,8955.102,1.0057,83871,106.7723
98,Papua New Guinea,8947.024,8776.109,1.0195,462840,18.9614
99,Serbia,8737.371,8772.235,0.996,88361,99.2772
101,Israel,8655.535,8519.377,1.016,20770,410.177
100,Switzerland,8654.622,8591.365,1.0074,41284,208.104
102,Togo,8278.724,8082.366,1.0243,56785,142.3328
103,Sierra Leone,7976.983,7813.215,1.021,71740,108.9102
104,Hong Kong,7496.981,7436.154,1.0082,1104,6735.6467
105,Laos,7275.56,7169.455,1.0148,236800,30.2764
106,Paraguay,7132.538,7044.636,1.0125,406752,17.3192
107,Bulgaria,6948.445,7000.119,0.9926,110879,63.133
109,Libya,6871.292,6777.452,1.0138,1759540,3.8518
108,Lebanon,6825.445,6855.713,0.9956,10452,655.9236
110,Nicaragua,6624.554,6545.502,1.0121,130373,50.206
112,Kyrgyzstan,6524.195,6415.85,1.0169,199951,32.0871
111,El Salvador,6486.205,6453.553,1.0051,21041,306.7132
113,Turkmenistan,6031.2,5942.089,1.015,488100,12.1739
114,Singapore,5850.342,5804.337,1.0079,710,8175.1225
115,Denmark,5792.202,5771.876,1.0035,43094,133.9369
116,Finland,5540.72,5532.156,1.0015,338424,16.3468
118,Republic of the Congo,5518.087,5380.508,1.0256,342000,15.7325
117,Slovakia,5459.642,5457.013,1.0005,49037,111.2836
119,Norway,5421.241,5378.857,1.0079,323802,16.6116
122,Oman,5106.626,4974.986,1.0265,309500,16.0743
121,Palestine,5101.414,4981.42,1.0241,6220,800.8714
120,Costa Rica,5094.118,5047.561,1.0092,51100,98.7781
123,Liberia,5057.681,4937.374,1.0244,111369,44.3335
124,Ireland,4937.786,4882.495,1.0113,70273,69.479
126,Central African Republic,4829.767,4745.185,1.0178,622984,7.6169
125,New Zealand,4822.233,4783.063,1.0082,270467,17.6845
127,Mauritania,4649.658,4525.696,1.0274,1030700,4.3909
