"","country","elec_rank","elec_consumption_bil_kwh","gas_rank","gas_consumption_k_barrels_per_day","jet_rank","jet_consumption_k_barrels_per_day","pop_rank","pop2020","pop2019","pop_growth_rate","land_area","pop_density","covid_rank","total_cases","new_cases","total_deaths","new_deaths","total_recovered","active_cases","serious_critical_cases","cases_per_M_pop","deaths_per_M_pop","total_tests","tests_per_M_pop","population_covid","pov_rank","pop_below_poverty_line","health_dol_rank","health_expenditure_percent_GDP","beds_rank","bed_density_per_k_pop","life_rank","life_expectancy_at_birth_years","unemployment2019","unemployment2020","covid_inc_unemployment"
"65","El Salvador",110,"5.9",93,"10",97,"2.6",111,6486.205,6453.553,1.0051,21041,306.7132,85,"2,395","117","44","2","1,026","1,325","45","369","7","86,972","13,415","6,483,357",51,32.7,70,7,134,1.3,111,75.1,"6.7","7.9","1.2"
"68","Estonia",99,"8",111,"5.8",134,"0.8",155,1326.535,1325.648,1.0007,45227,29.311,91,"1,865","6","67","","1,622","176","","1,406","51","82,747","62,382","1,326,459",104,21.1,84,6.7,33,5,79,77,"4.4","6","1.6"
"72","Fiji",156,"0.8",161,"1",90,"3.1",161,896.445,889.953,1.0073,18272,48.7058,196,"18","","","","15","3","","20","","2,431","2,714","895,872",55,31,166,3.6,98,2.3,137,73.2,"4.5","13.4","8.9"
"74","France",10,"453",20,"180",7,"146",22,65273.511,65129.728,1.0022,551695,118.0539,7,"186,835","","28,714","","67,803","90,318","1,361","2,863","440","1,384,633","21,217","65,261,155",138,14.2,12,11.1,20,6.5,20,82,"8.5","10.4","1.9"
"79","Georgia",93,"9.1",96,"9.9",120,"1.2",132,3989.167,3996.765,0.9981,69700,57.3424,127,"757","11","12","","600","145","6","190","3","53,618","13,439","3,989,806",154,9.2,50,7.9,90,2.6,82,76.6,"11.6","no data","#VALUE!"
"80","Germany",6,"534",10,"427",6,"187",17,83783.942,83517.045,1.0032,357114,233.8666,8,"183,149","130","8,598","4","164,900","9,651","729","2,187","103","3,952,971","47,194","83,760,886",121,16.7,11,11.2,8,8.3,39,80.9,"3.2","3.9","0.7"
"83","Greece",44,"53",39,"68",37,"21",87,10423.054,10473.455,0.9952,131990,79.3504,80,"2,915","6","175","","1,374","1,366","14","280","17","178,316","17,101","10,427,224",48,36,45,8.4,48,4.3,40,80.8,"17.3","22.3","5"
"93","Honduras",113,"5.4",91,"12",125,"1",93,9904.607,9746.117,1.0163,112492,86.6383,68,"4,886","134","199","3","528","4,159","13","494","20","14,790","1,495","9,889,983",64,29.6,57,7.6,164,0.7,150,71.3,"4.1","8","3.9"
"96","Hungary",57,"37",59,"30",87,"3.6",94,9660.351,9684.679,0.9975,93028,104.105,72,"3,867","26","524","7","2,142","1,201","22","400","54","183,562","18,998","9,662,389",134,14.9,67,7.2,15,7,86,76.3,"3.4","5.4","2"
"99","Indonesia",21,"185",7,"530",21,"64",4,273523.615,270625.568,1.0107,1904569,142.0928,33,"25,773","557","1,573","53","7,015","17,185","","94","6","311,906","1,141","273,263,419",147,10.9,173,3.3,143,1.2,140,73.2,"5.3","7.5","2.2"
"102","Ireland",65,"24",60,"29",53,"12",124,4937.786,4882.495,1.0113,70273,69.479,34,"24,929","53","1,651","6","22,089","1,189","42","5,054","335","325,795","66,047","4,932,806",158,8.2,52,7.8,80,2.8,34,81,"5","12.1","7.1"
"104","Israel",46,"49",43,"63",44,"17",101,8655.535,8519.377,1.016,20770,410.177,40,"17,008","21","284","","14,776","1,948","39","1,849","31","567,429","61,693","9,197,590",95,22,62,7.4,71,3.1,10,82.7,"3.8","12","8.2"
"105","Italy",12,"294",16,"216",18,"82",23,60461.826,60550.075,0.9985,301336,200.9387,6,"232,664","416","33,340","111","155,633","43,691","450","3,848","551","3,824,621","63,249","60,469,262",61,29.9,38,9,67,3.4,15,82.4,"10","12.7","2.7"
"106","Jamaica",134,"2.8",94,"10",80,"4.1",138,2961.167,2948.279,1.0044,10991,268.2448,132,"575","6","9","","289","277","2","194","3","12,078","4,080","2,960,047",118,17.1,110,5.9,116,1.7,121,74.5,"no data","no data","#VALUE!"
"107","Japan",3,"935",3,"978",5,"202",11,126476.461,126860.301,0.997,377930,335.6714,41,"16,719","","874","","14,254","1,591","131","132","7","284,763","2,251","126,508,530",126,16.1,14,10.9,2,13.4,2,85.5,"2.4","3","0.6"
